                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6979,                 3.3096,                 3.3809,                0.59811,                 0.5394,                0.56746,                0.20283,                 1.9873,                 2.9095,                 2.4417,              0.0033308,              0.0033308,              0.0033308
                      2,                 1.6442,                 1.3185,                 2.0206,                0.90959,                 0.8166,                0.86966,                 0.4556,                 1.5843,                  1.074,                 1.9328,              0.0065577,              0.0065577,              0.0065577
                      3,                  1.497,                 1.0915,                 1.8218,                0.89097,                0.83537,                0.88678,                0.40987,                 1.8019,                 1.0197,                 2.0915,              0.0096782,              0.0096782,              0.0096782
                      4,                 1.4162,                0.97301,                 1.7347,                0.95158,                0.87566,                0.93281,                0.55642,                 1.4284,                0.80325,                 1.7822,               0.009521,               0.009521,               0.009521
                      5,                  1.363,                0.89836,                 1.6815,                0.94707,                0.89807,                0.94307,                0.56852,                 1.3988,                0.73402,                 1.7231,              0.0093613,              0.0093613,              0.0093613
                      6,                 1.3191,                0.84354,                  1.641,                0.95047,                0.89108,                0.94086,                0.58189,                 1.3517,                0.73831,                 1.6684,              0.0092016,              0.0092016,              0.0092016
                      7,                 1.2888,                0.81235,                 1.6156,                0.96821,                0.89995,                0.95074,                0.57779,                 1.4083,                0.69395,                 1.6766,              0.0090419,              0.0090419,              0.0090419
                      8,                 1.2705,                0.79167,                 1.5941,                0.95666,                0.89775,                0.95051,                 0.5587,                 1.4215,                0.71711,                 1.7181,              0.0088823,              0.0088823,              0.0088823
                      9,                  1.258,                0.77023,                 1.5898,                0.95765,                0.91932,                0.95871,                0.61573,                 1.2847,                0.64499,                 1.5998,              0.0087226,              0.0087226,              0.0087226
                     10,                 1.2408,                0.74299,                 1.5758,                0.97446,                0.91276,                0.95802,                0.60548,                 1.3169,                0.63748,                 1.6111,              0.0085629,              0.0085629,              0.0085629
                     11,                 1.2304,                0.72759,                 1.5566,                 0.9624,                0.91323,                0.96072,                0.62136,                 1.2938,                0.60999,                 1.5921,              0.0084032,              0.0084032,              0.0084032
                     12,                 1.2207,                0.71996,                 1.5518,                0.96388,                0.92636,                0.96083,                0.60903,                 1.3305,                0.60109,                 1.6113,              0.0082435,              0.0082435,              0.0082435
                     13,                 1.2104,                0.70602,                 1.5419,                0.96552,                0.93246,                0.96432,                0.62139,                  1.286,                 0.5814,                 1.5744,              0.0080839,              0.0080839,              0.0080839
                     14,                 1.2042,                 0.6906,                 1.5291,                0.96253,                 0.9277,                 0.9644,                0.60693,                 1.3336,                0.58335,                 1.5951,              0.0079242,              0.0079242,              0.0079242
                     15,                 1.1956,                0.68339,                  1.521,                0.96235,                0.92313,                0.96264,                0.62105,                 1.2788,                0.57429,                 1.5679,              0.0077645,              0.0077645,              0.0077645
                     16,                 1.1885,                0.68429,                 1.5139,                0.96583,                0.93293,                0.96572,                0.63006,                 1.2536,                0.56987,                 1.5554,              0.0076048,              0.0076048,              0.0076048
